step,train_loss,val_loss,lr,wall_dt_s,wall_cum_s,tokens_step,tokens_cum,h_mean,hY_mean,xi_mean,rX,rP,c_log_mean,c_lin_mean,leak_warnings,sched_t_start,sched_t_end
0,10.835681,,0.00000000e+00,5.919411,5.919408,49152,49152,0.0,,0.0,0.0,0.0,,,,,
100,,9.629327,2.00000000e-04,,136.519320,49152,4964352,0.0,,0.0,0.0,0.0,,,,,
200,7.249782,,2.99988559e-04,284.789705,290.709110,49152,9879552,0.0,,0.0,0.0,0.0,,,,,
200,,7.208211,2.99988559e-04,,290.709110,49152,9879552,0.0,,0.0,0.0,0.0,,,,,
300,,5.950143,2.99897044e-04,,423.341879,49152,14794752,0.0,,0.0,0.0,0.0,,,,,
400,5.168644,,2.99714108e-04,264.437256,555.146371,49152,19709952,0.0,,0.0,0.0,0.0,,,,,
400,,5.141330,2.99714108e-04,,555.146371,49152,19709952,0.0,,0.0,0.0,0.0,,,,,
500,,4.620595,2.99439937e-04,,687.618600,49152,24625152,0.0,,0.0,0.0,0.0,,,,,
600,4.283996,,2.99074810e-04,264.983762,820.130133,49152,29540352,0.0,,0.0,0.0,0.0,,,,,
600,,4.322757,2.99074810e-04,,820.130133,49152,29540352,0.0,,0.0,0.0,0.0,,,,,
700,,4.170957,2.98619097e-04,,952.901582,49152,34455552,0.0,,0.0,0.0,0.0,,,,,
800,3.942574,,2.98073262e-04,265.445986,1085.576120,49152,39370752,0.0,,0.0,0.0,0.0,,,,,
800,,4.028141,2.98073262e-04,,1085.576120,49152,39370752,0.0,,0.0,0.0,0.0,,,,,
900,,3.949536,2.97437861e-04,,1218.404667,49152,44285952,0.0,,0.0,0.0,0.0,,,,,
1000,3.867853,,2.96713539e-04,264.704963,1350.281083,49152,49201152,0.0,,0.0,0.0,0.0,,,,,
1000,,3.876828,2.96713539e-04,,1350.281083,49152,49201152,0.0,,0.0,0.0,0.0,,,,,
1100,,3.796663,2.95901034e-04,,1483.050544,49152,54116352,0.0,,0.0,0.0,0.0,,,,,
1200,3.736891,,2.95001170e-04,265.546391,1615.827474,49152,59031552,0.0,,0.0,0.0,0.0,,,,,
1200,,3.686886,2.95001170e-04,,1615.827474,49152,59031552,0.0,,0.0,0.0,0.0,,,,,
1300,,3.675161,2.94014865e-04,,1748.747259,49152,63946752,0.0,,0.0,0.0,0.0,,,,,
1400,3.614567,,2.92943120e-04,265.117620,1880.945094,49152,68861952,0.0,,0.0,0.0,0.0,,,,,
