step,train_loss,val_loss,lr,wall_dt_s,wall_cum_s,tokens_step,tokens_cum,h_mean,hY_mean,xi_mean,rX,rP,c_log_mean,c_lin_mean,leak_warnings,sched_t_start,sched_t_end
0,10.830517,,0.00000000e+00,8.100703,8.100700,49152,49152,0.010000001639127731,,nan,0.0,0.0,3.0,0.00010000004840549082,0,1.0,1.0800000131130219
100,,9.613184,2.00000000e-04,,247.006054,49152,4964352,0.007584857230540365,,nan,0.0,0.0,3.21338152885437,0.00010169360120926285,0,1.0,1.060678857844323
200,7.231734,,2.99988559e-04,487.254593,495.355294,49152,9879552,0.006715227791573852,,nan,0.0,0.0,3.3277379870414734,0.00010436053435114445,0,1.0,1.0537218223325908
200,,7.197990,2.99988559e-04,,495.355294,49152,9879552,0.006711248715873808,,nan,0.0,0.0,3.3285875618457794,0.00010443091650813585,0,1.0,1.0536899897269905
300,,5.990994,2.99897044e-04,,741.059976,49152,14794752,0.0062163742986740544,,nan,0.0,0.0,3.514842450618744,0.0001091860012820689,0,1.0,1.0497309943893924
400,5.234661,,2.99714108e-04,485.599095,980.954390,49152,19709952,0.007543497195001692,,nan,0.0,0.0,3.8123868107795715,0.00012047658856317867,0,1.0,1.0603479775600135
400,,5.207840,2.99714108e-04,,980.954390,49152,19709952,0.007602728488564026,,nan,0.0,0.0,3.815346419811249,0.00012065717328368919,0,1.0,1.0608218279085122
500,,4.662326,2.99439937e-04,,1226.711719,49152,24625152,0.016117847662826534,,nan,0.0,0.0,3.951324909925461,0.00012553785654745298,0,1.0,1.1289427813026123
600,4.286835,,2.99074810e-04,487.562432,1468.516822,49152,29540352,0.029199892841461406,,nan,0.0,0.0,3.9774369299411774,0.0001260466551684658,0,1.0,1.2335991427316912
600,,4.320995,2.99074810e-04,,1468.516822,49152,29540352,0.02957540346960741,,nan,0.0,0.0,3.976940631866455,0.00012599095862242393,0,1.0,1.2366032277568593
700,,4.104471,2.98619097e-04,,1713.764345,49152,34455552,0.06839878510822928,,nan,0.0,0.0,3.9095067977905273,0.0001228997161888401,0,1.0,1.5471902808658342
800,3.798478,,2.98073262e-04,489.375023,1957.891845,49152,39370752,0.12880172050887495,,nan,0.0,0.0,3.8194302022457123,0.0001265517560113949,0,1.0,2.0304137640709996
800,,3.887656,2.98073262e-04,,1957.891845,49152,39370752,0.12925806474464707,,nan,0.0,0.0,3.819037288427353,0.00012672860134443908,0,1.0,2.0340645179571766
900,,3.691106,2.97437861e-04,,2203.113172,49152,44285952,0.2202510298824052,,nan,0.0,0.0,3.7085449248552322,0.00013819357661759568,0,1.0,2.7620082390592415
1000,3.557759,,2.96713539e-04,489.222257,2447.114103,49152,49201152,0.30582036748250374,,nan,0.0,0.0,3.6519350707530975,0.00017152765303762862,0,1.0,3.44656293986003
1000,,3.542149,2.96713539e-04,,2447.114103,49152,49201152,0.30706109329788944,,nan,0.0,0.0,3.651640772819519,0.00017184628450195305,0,1.0,3.4564887463831155
1100,,3.598536,2.95901034e-04,,2692.546834,49152,54116352,0.38319500722564115,,nan,0.0,0.0,3.645017147064209,0.0002538491602308568,0,1.0,4.065560057805129
1200,3.439995,,2.95001170e-04,490.628639,2937.742741,49152,59031552,0.4144177056572662,,nan,0.0,0.0,3.6531478613615036,0.00032649446097821055,0,1.0,4.31534164525813
1200,,3.385245,2.95001170e-04,,2937.742741,49152,59031552,0.4136437508771298,,nan,0.0,0.0,3.6535050570964813,0.00032895223557716236,0,1.0,4.309150007017038
1300,,3.279849,2.94014865e-04,,3182.954107,49152,63946752,0.40043434110678877,,nan,0.0,0.0,3.791683703660965,0.000619745360268098,0,1.0,4.20347472885431
1400,3.349212,,2.92943120e-04,490.402364,3428.145105,49152,68861952,0.37808795395279304,,nan,0.0,0.0,3.937580719590187,0.0012988981522426002,0,1.0,4.024703631622344
1400,,3.340361,2.92943120e-04,,3428.145105,49152,68861952,0.37804983568312167,,nan,0.0,0.0,3.9388810843229294,0.0013062977020581457,0,1.0,4.024398685464973
1500,,3.206843,2.91787025e-04,,3673.481021,49152,73777152,0.4186997977106266,,nan,0.0,0.0,4.167966350913048,0.002390303033280361,0,1.0,4.349598381685013
1600,3.118304,,2.90547756e-04,491.063959,3919.209065,49152,78692352,0.4474350386247732,,nan,0.0,0.0,4.353988133370876,0.003020372689263695,0,1.0,4.5794803089981855
1600,,3.130179,2.90547756e-04,,3919.209065,49152,78692352,0.44719275841093165,,nan,0.0,0.0,4.356541484594345,0.003021236360950752,0,1.0,4.577542067287453
1700,,2.983898,2.89226574e-04,,4164.869537,49152,83607552,0.5029306835235374,,nan,0.0,0.0,4.498851530253887,0.0030684698552931877,0,1.0,5.023445468188299
1800,2.919199,,2.87824822e-04,491.726365,4410.935429,49152,88522752,0.5944648923075304,,nan,0.0,0.0,4.442529931664467,0.0030376494289043876,0,1.0,5.755719138460243
1800,,2.840637,2.87824822e-04,,4410.935429,49152,88522752,0.5955823429934539,,nan,0.0,0.0,4.442153804004192,0.0030373053861012522,0,1.0,5.764658743947631
1900,,3.262323,2.86343926e-04,,4653.438272,49152,93437952,0.634880905910788,,nan,0.0,0.0,4.5211998000741005,0.0030655159310413183,0,1.0,6.079047247286304
2000,2.832959,,2.84785391e-04,487.554791,4898.490221,49152,98353152,0.6488697595452475,,nan,0.0,0.0,4.473341375589371,0.0030442054991794976,0,1.0,6.19095807636198
