step,train_loss,val_loss,lr,wall_dt_s,wall_cum_s,tokens_step,tokens_cum,h_mean,hY_mean,xi_mean,rX,rP,c_log_mean,c_lin_mean,leak_warnings,sched_t_start,sched_t_end
0,10.849627,,0.00000000e+00,5.896481,5.896478,49152,49152,,,,,,,,,,
100,,8.531993,2.00000000e-04,,149.420552,49152,4964352,,,,,,,,,,
200,5.823374,,2.99988559e-04,297.692687,303.589165,49152,9879552,,,,,,,,,,
200,,5.791914,2.99988559e-04,,303.589165,49152,9879552,,,,,,,,,,
300,,4.669913,2.99897044e-04,,448.748909,49152,14794752,,,,,,,,,,
400,4.190988,,2.99714108e-04,291.114781,594.703947,49152,19709952,,,,,,,,,,
400,,4.161161,2.99714108e-04,,594.703947,49152,19709952,,,,,,,,,,
500,,4.000430,2.99439937e-04,,739.770838,49152,24625152,,,,,,,,,,
600,3.842422,,2.99074810e-04,290.397203,885.101151,49152,29540352,,,,,,,,,,
600,,3.878318,2.99074810e-04,,885.101151,49152,29540352,,,,,,,,,,
700,,3.813047,2.98619097e-04,,1031.157445,49152,34455552,,,,,,,,,,
800,3.621464,,2.98073262e-04,292.126188,1177.227339,49152,39370752,,,,,,,,,,
800,,3.722745,2.98073262e-04,,1177.227339,49152,39370752,,,,,,,,,,
900,,3.663939,2.97437861e-04,,1323.329338,49152,44285952,,,,,,,,,,
1000,3.598593,,2.96713539e-04,291.054214,1468.281554,49152,49201152,,,,,,,,,,
1000,,3.602314,2.96713539e-04,,1468.281554,49152,49201152,,,,,,,,,,
1100,,3.525147,2.95901034e-04,,1614.370039,49152,54116352,,,,,,,,,,
1200,3.473393,,2.95001170e-04,292.148467,1760.430021,49152,59031552,,,,,,,,,,
1200,,3.429523,2.95001170e-04,,1760.430021,49152,59031552,,,,,,,,,,
1300,,3.423543,2.94014865e-04,,1905.831701,49152,63946752,,,,,,,,,,
1400,3.351748,,2.92943120e-04,291.034773,2051.464794,49152,68861952,,,,,,,,,,
1400,,3.351118,2.92943120e-04,,2051.464794,49152,68861952,,,,,,,,,,
1500,,3.295979,2.91787025e-04,,2197.933473,49152,73777152,,,,,,,,,,
1600,3.242363,,2.90547756e-04,292.505210,2343.970004,49152,78692352,,,,,,,,,,
1600,,3.269331,2.90547756e-04,,2343.970004,49152,78692352,,,,,,,,,,
1700,,3.188022,2.89226574e-04,,2490.068411,49152,83607552,,,,,,,,,,
1800,3.206227,,2.87824822e-04,292.076754,2636.046758,49152,88522752,,,,,,,,,,
1800,,3.092655,2.87824822e-04,,2636.046758,49152,88522752,,,,,,,,,,
1900,,3.088273,2.86343926e-04,,2781.604115,49152,93437952,,,,,,,,,,
2000,3.050391,,2.84785391e-04,291.032586,2927.079344,49152,98353152,,,,,,,,,,
2000,,3.095077,2.84785391e-04,,2927.079344,49152,98353152,,,,,,,,,,
2100,,3.002405,2.83150803e-04,,3072.180006,49152,103268352,,,,,,,,,,
2200,2.999097,,2.81441823e-04,291.192651,3218.271994,49152,108183552,,,,,,,,,,
2200,,3.013882,2.81441823e-04,,3218.271994,49152,108183552,,,,,,,,,,
2300,,2.989387,2.79660190e-04,,3363.195051,49152,113098752,,,,,,,,,,
2400,2.976047,,2.77807716e-04,289.857911,3508.129906,49152,118013952,,,,,,,,,,
2400,,2.921402,2.77807716e-04,,3508.129906,49152,118013952,,,,,,,,,,
2500,,2.921104,2.75886285e-04,,3653.106535,49152,122929152,,,,,,,,,,
2600,2.931736,,2.73897850e-04,290.474658,3798.604564,49152,127844352,,,,,,,,,,
2600,,2.882230,2.73897850e-04,,3798.604564,49152,127844352,,,,,,,,,,
2700,,2.943690,2.71844433e-04,,3944.841580,49152,132759552,,,,,,,,,,
2800,2.834443,,2.69728124e-04,292.184558,4090.789122,49152,137674752,,,,,,,,,,
2800,,2.883974,2.69728124e-04,,4090.789122,49152,137674752,,,,,,,,,,
2900,,2.865944,2.67551073e-04,,4237.006521,49152,142589952,,,,,,,,,,
3000,2.821324,,2.65315496e-04,291.732509,4382.521631,49152,147505152,,,,,,,,,,
3000,,2.870101,2.65315496e-04,,4382.521631,49152,147505152,,,,,,,,,,
3100,,2.818292,2.63023665e-04,,4528.062903,49152,152420352,,,,,,,,,,
3200,2.750690,,2.60677912e-04,291.166517,4673.688149,49152,157335552,,,,,,,,,,
3200,,2.705841,2.60677912e-04,,4673.688149,49152,157335552,,,,,,,,,,
3300,,2.780413,2.58280621e-04,,4819.677056,49152,162250752,,,,,,,,,,
3400,2.703114,,2.55834231e-04,291.775040,4965.463189,49152,167165952,,,,,,,,,,
3400,,2.729192,2.55834231e-04,,4965.463189,49152,167165952,,,,,,,,,,
3500,,2.688383,2.53341230e-04,,5111.297843,49152,172081152,,,,,,,,,,
3600,2.677090,,2.50804152e-04,291.180592,5256.643781,49152,176996352,,,,,,,,,,
3600,,2.697701,2.50804152e-04,,5256.643781,49152,176996352,,,,,,,,,,
3700,,2.688117,2.48225578e-04,,5401.616203,49152,181911552,,,,,,,,,,
3800,2.714247,,2.45608131e-04,290.486618,5547.130399,49152,186826752,,,,,,,,,,
3800,,2.668996,2.45608131e-04,,5547.130399,49152,186826752,,,,,,,,,,
3900,,2.618707,2.42954472e-04,,5692.133652,49152,191741952,,,,,,,,,,
4000,2.641278,,2.40267299e-04,290.311352,5837.441751,49152,196657152,,,,,,,,,,
4000,,2.673213,2.40267299e-04,,5837.441751,49152,196657152,,,,,,,,,,
4100,,2.627168,2.37549346e-04,,5982.231356,49152,201572352,,,,,,,,,,
4200,2.656993,,2.34803377e-04,289.706215,6127.147966,49152,206487552,,,,,,,,,,
4200,,2.661789,2.34803377e-04,,6127.147966,49152,206487552,,,,,,,,,,
4300,,2.568287,2.32032183e-04,,6272.170628,49152,211402752,,,,,,,,,,
4400,2.591982,,2.29238584e-04,291.075246,6418.223212,49152,216317952,,,,,,,,,,
4400,,2.621436,2.29238584e-04,,6418.223212,49152,216317952,,,,,,,,,,
4500,,2.597254,2.26425420e-04,,6563.755795,49152,221233152,,,,,,,,,,
4600,2.569441,,2.23595552e-04,290.885089,6709.108301,49152,226148352,,,,,,,,,,
4600,,2.584660,2.23595552e-04,,6709.108301,49152,226148352,,,,,,,,,,
4700,,2.594403,2.20751858e-04,,6854.960122,49152,231063552,,,,,,,,,,
4800,2.594611,,2.17897230e-04,290.843361,6999.951663,49152,235978752,,,,,,,,,,
4800,,2.537392,2.17897230e-04,,6999.951663,49152,235978752,,,,,,,,,,
4900,,2.599611,2.15034570e-04,,7145.672219,49152,240893952,,,,,,,,,,
5000,2.591055,,2.12166791e-04,290.596272,7290.547934,49152,245809152,,,,,,,,,,
5000,,2.600897,2.12166791e-04,,7290.547934,49152,245809152,,,,,,,,,,
5100,,2.501361,2.09296808e-04,,7435.462769,49152,250724352,,,,,,,,,,
5200,2.560483,,2.06427541e-04,290.010157,7580.558091,49152,255639552,,,,,,,,,,
5200,,2.552299,2.06427541e-04,,7580.558091,49152,255639552,,,,,,,,,,
5300,,2.570769,2.03561906e-04,,7726.198877,49152,260554752,,,,,,,,,,
5400,2.557841,,2.00702819e-04,291.542730,7872.100822,49152,265469952,,,,,,,,,,
5400,,2.508077,2.00702819e-04,,7872.100822,49152,265469952,,,,,,,,,,
5500,,2.514894,1.97853186e-04,,8017.909483,49152,270385152,,,,,,,,,,
5600,2.505321,,1.95015906e-04,293.641673,8165.742495,49152,275300352,,,,,,,,,,
5600,,2.508380,1.95015906e-04,,8165.742495,49152,275300352,,,,,,,,,,
5700,,2.511540,1.92193864e-04,,8311.319090,49152,280215552,,,,,,,,,,
5800,2.527946,,1.89389931e-04,291.503258,8457.245753,49152,285130752,,,,,,,,,,
5800,,2.453436,1.89389931e-04,,8457.245753,49152,285130752,,,,,,,,,,
5900,,2.470393,1.86606957e-04,,8603.648125,49152,290045952,,,,,,,,,,
6000,2.498927,,1.83847773e-04,292.167352,8749.413105,49152,294961152,,,,,,,,,,
6000,,2.544316,1.83847773e-04,,8749.413105,49152,294961152,,,,,,,,,,
6100,,2.411324,1.81115184e-04,,8895.211260,49152,299876352,,,,,,,,,,
6200,2.467667,,1.78411970e-04,291.796498,9041.209604,49152,304791552,,,,,,,,,,
6200,,2.451378,1.78411970e-04,,9041.209604,49152,304791552,,,,,,,,,,
6300,,2.483610,1.75740879e-04,,9186.993552,49152,309706752,,,,,,,,,,
6400,2.473612,,1.73104629e-04,291.456752,9332.666356,49152,314621952,,,,,,,,,,
6400,,2.464243,1.73104629e-04,,9332.666356,49152,314621952,,,,,,,,,,
6500,,2.488360,1.70505900e-04,,9478.406702,49152,319537152,,,,,,,,,,
6600,2.534209,,1.67947334e-04,291.434817,9624.101174,49152,324452352,,,,,,,,,,
6600,,2.471621,1.67947334e-04,,9624.101174,49152,324452352,,,,,,,,,,
6700,,2.499165,1.65431534e-04,,9768.815936,49152,329367552,,,,,,,,,,
6800,2.447784,,1.62961058e-04,290.278326,9914.379500,49152,334282752,,,,,,,,,,
6800,,2.461750,1.62961058e-04,,9914.379500,49152,334282752,,,,,,,,,,
6900,,2.454376,1.60538419e-04,,10060.121798,49152,339197952,,,,,,,,,,
7000,2.424098,,1.58166080e-04,292.219704,10206.599205,49152,344113152,,,,,,,,,,
7000,,2.455102,1.58166080e-04,,10206.599205,49152,344113152,,,,,,,,,,
7100,,2.432338,1.55846454e-04,,10352.252515,49152,349028352,,,,,,,,,,
7200,2.415947,,1.53581900e-04,291.372975,10497.972180,49152,353943552,,,,,,,,,,
7200,,2.478937,1.53581900e-04,,10497.972180,49152,353943552,,,,,,,,,,
7300,,2.447382,1.51374720e-04,,10643.714422,49152,358858752,,,,,,,,,,
7400,2.423478,,1.49227160e-04,291.198639,10789.170819,49152,363773952,,,,,,,,,,
7400,,2.445483,1.49227160e-04,,10789.170819,49152,363773952,,,,,,,,,,
7500,,2.451621,1.47141403e-04,,10934.242543,49152,368689152,,,,,,,,,,
7600,2.455575,,1.45119571e-04,290.774402,11079.945221,49152,373604352,,,,,,,,,,
7600,,2.426206,1.45119571e-04,,11079.945221,49152,373604352,,,,,,,,,,
7700,,2.424163,1.43163719e-04,,11225.652304,49152,378519552,,,,,,,,,,
7800,2.411684,,1.41275837e-04,290.370080,11370.315301,49152,383434752,,,,,,,,,,
7800,,2.414406,1.41275837e-04,,11370.315301,49152,383434752,,,,,,,,,,
7900,,2.407651,1.39457844e-04,,11515.926852,49152,388349952,,,,,,,,,,
8000,2.413532,,1.37711589e-04,290.765428,11661.080729,49152,393265152,,,,,,,,,,
8000,,2.448034,1.37711589e-04,,11661.080729,49152,393265152,,,,,,,,,,
8100,,2.417128,1.36038849e-04,,11806.069166,49152,398180352,,,,,,,,,,
8200,2.406014,,1.34441324e-04,290.701953,11951.782683,49152,403095552,,,,,,,,,,
8200,,2.429051,1.34441324e-04,,11951.782683,49152,403095552,,,,,,,,,,
8300,,2.423121,1.32920639e-04,,12096.584394,49152,408010752,,,,,,,,,,
8400,2.436530,,1.31478340e-04,290.001780,12241.784463,49152,412925952,,,,,,,,,,
8400,,2.339275,1.31478340e-04,,12241.784463,49152,412925952,,,,,,,,,,
8500,,2.441658,1.30115894e-04,,12388.453292,49152,417841152,,,,,,,,,,
8600,2.426840,,1.28834687e-04,292.360861,12534.145324,49152,422756352,,,,,,,,,,
8600,,2.408338,1.28834687e-04,,12534.145324,49152,422756352,,,,,,,,,,
8700,,2.412866,1.27636021e-04,,12679.921555,49152,427671552,,,,,,,,,,
8800,2.356276,,1.26521116e-04,290.920494,12825.065819,49152,432586752,,,,,,,,,,
8800,,2.383861,1.26521116e-04,,12825.065819,49152,432586752,,,,,,,,,,
8900,,2.359651,1.25491106e-04,,12970.336868,49152,437501952,,,,,,,,,,
9000,2.316080,,1.24547037e-04,291.069548,13116.135366,49152,442417152,,,,,,,,,,
9000,,2.378653,1.24547037e-04,,13116.135366,49152,442417152,,,,,,,,,,
9100,,2.319111,1.23689870e-04,,13261.923836,49152,447332352,,,,,,,,,,
9200,2.366798,,1.22920477e-04,291.165543,13407.300910,49152,452247552,,,,,,,,,,
9200,,2.374380,1.22920477e-04,,13407.300910,49152,452247552,,,,,,,,,,
9300,,2.351883,1.22239640e-04,,13552.432549,49152,457162752,,,,,,,,,,
9400,2.332729,,1.21648051e-04,290.196488,13697.497398,49152,462077952,,,,,,,,,,
9400,,2.402301,1.21648051e-04,,13697.497398,49152,462077952,,,,,,,,,,
9500,,2.338448,1.21146312e-04,,13843.292244,49152,466993152,,,,,,,,,,
9600,2.428833,,1.20734934e-04,290.756448,13988.253846,49152,471908352,,,,,,,,,,
9600,,2.350009,1.20734934e-04,,13988.253846,49152,471908352,,,,,,,,,,
9700,,2.389607,1.20414335e-04,,14133.714763,49152,476823552,,,,,,,,,,
9800,2.382358,,1.20184840e-04,291.283221,14279.537067,49152,481738752,,,,,,,,,,
9800,,2.395432,1.20184840e-04,,14279.537067,49152,481738752,,,,,,,,,,
9900,,2.328403,1.20046683e-04,,14425.442596,49152,486653952,,,,,,,,,,
10000,2.307813,,1.20000005e-04,291.740098,14571.277165,49152,491569152,,,,,,,,,,
10000,,2.409051,1.20000005e-04,,14571.277165,49152,491569152,,,,,,,,,,
