step,train_loss,val_loss,lr,wall_dt_s,wall_cum_s,tokens_step,tokens_cum,h_mean,hY_mean,xi_mean,rX,rP,c_log_mean,c_lin_mean,leak_warnings,sched_t_start,sched_t_end
0,10.849627,,0.00000000e+00,5.858291,5.858287,49152,49152,,,,,,,,,,
100,,8.533347,2.00000000e-04,,148.400723,49152,4964352,,,,,,,,,,
200,5.827942,,2.99988559e-04,296.704435,302.562719,49152,9879552,,,,,,,,,,
200,,5.795762,2.99988559e-04,,302.562719,49152,9879552,,,,,,,,,,
300,,4.667761,2.99897044e-04,,447.023004,49152,14794752,,,,,,,,,,
400,4.189361,,2.99714108e-04,289.528541,592.091266,49152,19709952,,,,,,,,,,
400,,4.160255,2.99714108e-04,,592.091266,49152,19709952,,,,,,,,,,
500,,4.002367,2.99439937e-04,,736.334704,49152,24625152,,,,,,,,,,
600,3.845999,,2.99074810e-04,289.358020,881.449286,49152,29540352,,,,,,,,,,
600,,3.881004,2.99074810e-04,,881.449286,49152,29540352,,,,,,,,,,
700,,3.819705,2.98619097e-04,,1025.903115,49152,34455552,,,,,,,,,,
800,3.629647,,2.98073262e-04,289.526512,1170.975799,49152,39370752,,,,,,,,,,
800,,3.731645,2.98073262e-04,,1170.975799,49152,39370752,,,,,,,,,,
900,,3.678002,2.97437861e-04,,1316.067237,49152,44285952,,,,,,,,,,
1000,3.616127,,2.96713539e-04,290.232399,1461.208199,49152,49201152,,,,,,,,,,
1000,,3.617455,2.96713539e-04,,1461.208199,49152,49201152,,,,,,,,,,
1100,,3.542235,2.95901034e-04,,1606.378559,49152,54116352,,,,,,,,,,
1200,3.483158,,2.95001170e-04,289.981550,1751.189749,49152,59031552,,,,,,,,,,
1200,,3.437508,2.95001170e-04,,1751.189749,49152,59031552,,,,,,,,,,
1300,,3.421334,2.94014865e-04,,1895.927456,49152,63946752,,,,,,,,,,
1400,3.350187,,2.92943120e-04,289.305542,2040.495291,49152,68861952,,,,,,,,,,
1400,,3.348308,2.92943120e-04,,2040.495291,49152,68861952,,,,,,,,,,
1500,,3.295408,2.91787025e-04,,2185.623561,49152,73777152,,,,,,,,,,
1600,3.243331,,2.90547756e-04,289.166981,2329.662273,49152,78692352,,,,,,,,,,
1600,,3.269321,2.90547756e-04,,2329.662273,49152,78692352,,,,,,,,,,
1700,,3.189162,2.89226574e-04,,2474.774759,49152,83607552,,,,,,,,,,
1800,3.204078,,2.87824822e-04,289.212938,2618.875211,49152,88522752,,,,,,,,,,
1800,,3.095298,2.87824822e-04,,2618.875211,49152,88522752,,,,,,,,,,
1900,,3.091106,2.86343926e-04,,2763.154445,49152,93437952,,,,,,,,,,
2000,3.055640,,2.84785391e-04,289.429414,2908.304626,49152,98353152,,,,,,,,,,
2000,,3.101726,2.84785391e-04,,2908.304626,49152,98353152,,,,,,,,,,
2100,,3.009688,2.83150803e-04,,3052.445737,49152,103268352,,,,,,,,,,
2200,3.006977,,2.81441823e-04,289.246823,3197.551448,49152,108183552,,,,,,,,,,
2200,,3.021810,2.81441823e-04,,3197.551448,49152,108183552,,,,,,,,,,
2300,,2.993862,2.79660190e-04,,3341.373234,49152,113098752,,,,,,,,,,
2400,2.974295,,2.77807716e-04,287.851593,3485.403042,49152,118013952,,,,,,,,,,
2400,,2.927055,2.77807716e-04,,3485.403042,49152,118013952,,,,,,,,,,
2500,,2.930144,2.75886285e-04,,3629.447272,49152,122929152,,,,,,,,,,
2600,2.929899,,2.73897850e-04,288.736398,3774.139441,49152,127844352,,,,,,,,,,
2600,,2.881891,2.73897850e-04,,3774.139441,49152,127844352,,,,,,,,,,
2700,,2.949470,2.71844433e-04,,3919.310549,49152,132759552,,,,,,,,,,
2800,2.837417,,2.69728124e-04,289.987434,4064.126874,49152,137674752,,,,,,,,,,
2800,,2.881721,2.69728124e-04,,4064.126874,49152,137674752,,,,,,,,,,
2900,,2.862293,2.67551073e-04,,4209.370598,49152,142589952,,,,,,,,,,
3000,2.818752,,2.65315496e-04,289.767443,4353.894319,49152,147505152,,,,,,,,,,
3000,,2.869363,2.65315496e-04,,4353.894319,49152,147505152,,,,,,,,,,
3100,,2.813793,2.63023665e-04,,4498.281123,49152,152420352,,,,,,,,,,
3200,2.747690,,2.60677912e-04,289.719233,4643.613552,49152,157335552,,,,,,,,,,
3200,,2.700983,2.60677912e-04,,4643.613552,49152,157335552,,,,,,,,,,
3300,,2.774160,2.58280621e-04,,4788.775298,49152,162250752,,,,,,,,,,
3400,2.701899,,2.55834231e-04,290.149203,4933.762754,49152,167165952,,,,,,,,,,
3400,,2.732297,2.55834231e-04,,4933.762754,49152,167165952,,,,,,,,,,
3500,,2.686069,2.53341230e-04,,5078.710823,49152,172081152,,,,,,,,,,
3600,2.671384,,2.50804152e-04,289.682121,5223.444876,49152,176996352,,,,,,,,,,
3600,,2.698750,2.50804152e-04,,5223.444876,49152,176996352,,,,,,,,,,
3700,,2.687155,2.48225578e-04,,5367.454082,49152,181911552,,,,,,,,,,
3800,2.710156,,2.45608131e-04,288.938876,5512.383753,49152,186826752,,,,,,,,,,
3800,,2.666188,2.45608131e-04,,5512.383753,49152,186826752,,,,,,,,,,
3900,,2.614079,2.42954472e-04,,5657.082697,49152,191741952,,,,,,,,,,
4000,2.638506,,2.40267299e-04,289.418231,5801.801984,49152,196657152,,,,,,,,,,
4000,,2.666483,2.40267299e-04,,5801.801984,49152,196657152,,,,,,,,,,
4100,,2.621618,2.37549346e-04,,5946.786611,49152,201572352,,,,,,,,,,
4200,2.648797,,2.34803377e-04,288.954963,6090.756948,49152,206487552,,,,,,,,,,
4200,,2.653538,2.34803377e-04,,6090.756948,49152,206487552,,,,,,,,,,
4300,,2.558201,2.32032183e-04,,6235.328224,49152,211402752,,,,,,,,,,
4400,2.584750,,2.29238584e-04,289.732192,6380.489140,49152,216317952,,,,,,,,,,
4400,,2.607917,2.29238584e-04,,6380.489140,49152,216317952,,,,,,,,,,
4500,,2.582947,2.26425420e-04,,6525.483708,49152,221233152,,,,,,,,,,
4600,2.559617,,2.23595552e-04,289.998893,6670.488033,49152,226148352,,,,,,,,,,
4600,,2.573959,2.23595552e-04,,6670.488033,49152,226148352,,,,,,,,,,
4700,,2.585446,2.20751858e-04,,6815.498412,49152,231063552,,,,,,,,,,
4800,2.588415,,2.17897230e-04,290.090292,6960.578326,49152,235978752,,,,,,,,,,
4800,,2.528490,2.17897230e-04,,6960.578326,49152,235978752,,,,,,,,,,
4900,,2.587008,2.15034570e-04,,7105.770193,49152,240893952,,,,,,,,,,
5000,2.592890,,2.12166791e-04,290.197826,7250.776155,49152,245809152,,,,,,,,,,
5000,,2.596528,2.12166791e-04,,7250.776155,49152,245809152,,,,,,,,,,
5100,,2.489294,2.09296808e-04,,7394.659322,49152,250724352,,,,,,,,,,
5200,2.546411,,2.06427541e-04,287.920078,7538.696234,49152,255639552,,,,,,,,,,
5200,,2.540428,2.06427541e-04,,7538.696234,49152,255639552,,,,,,,,,,
5300,,2.557322,2.03561906e-04,,7683.785280,49152,260554752,,,,,,,,,,
5400,2.543851,,2.00702819e-04,290.025241,7828.721475,49152,265469952,,,,,,,,,,
5400,,2.500648,2.00702819e-04,,7828.721475,49152,265469952,,,,,,,,,,
5500,,2.500468,1.97853186e-04,,7973.092226,49152,270385152,,,,,,,,,,
5600,2.499058,,1.95015906e-04,288.843726,8117.565201,49152,275300352,,,,,,,,,,
5600,,2.499400,1.95015906e-04,,8117.565201,49152,275300352,,,,,,,,,,
5700,,2.504343,1.92193864e-04,,8262.510402,49152,280215552,,,,,,,,,,
5800,2.513372,,1.89389931e-04,290.038085,8407.603286,49152,285130752,,,,,,,,,,
5800,,2.451109,1.89389931e-04,,8407.603286,49152,285130752,,,,,,,,,,
5900,,2.454920,1.86606957e-04,,8552.773636,49152,290045952,,,,,,,,,,
6000,2.493425,,1.83847773e-04,289.836898,8697.440185,49152,294961152,,,,,,,,,,
6000,,2.535259,1.83847773e-04,,8697.440185,49152,294961152,,,,,,,,,,
6100,,2.404111,1.81115184e-04,,8842.448753,49152,299876352,,,,,,,,,,
6200,2.449041,,1.78411970e-04,290.175813,8987.615999,49152,304791552,,,,,,,,,,
6200,,2.442649,1.78411970e-04,,8987.615999,49152,304791552,,,,,,,,,,
6300,,2.467052,1.75740879e-04,,9132.629615,49152,309706752,,,,,,,,,,
6400,2.460169,,1.73104629e-04,289.723451,9277.339449,49152,314621952,,,,,,,,,,
6400,,2.451228,1.73104629e-04,,9277.339449,49152,314621952,,,,,,,,,,
6500,,2.480746,1.70505900e-04,,9421.276518,49152,319537152,,,,,,,,,,
6600,2.518087,,1.67947334e-04,288.907498,9566.246948,49152,324452352,,,,,,,,,,
6600,,2.459487,1.67947334e-04,,9566.246948,49152,324452352,,,,,,,,,,
6700,,2.490563,1.65431534e-04,,9711.342137,49152,329367552,,,,,,,,,,
6800,2.432543,,1.62961058e-04,289.849882,9856.096830,49152,334282752,,,,,,,,,,
6800,,2.457338,1.62961058e-04,,9856.096830,49152,334282752,,,,,,,,,,
6900,,2.448406,1.60538419e-04,,10000.815030,49152,339197952,,,,,,,,,,
7000,2.411511,,1.58166080e-04,288.411559,10144.508389,49152,344113152,,,,,,,,,,
7000,,2.439307,1.58166080e-04,,10144.508389,49152,344113152,,,,,,,,,,
7100,,2.422406,1.55846454e-04,,10288.543143,49152,349028352,,,,,,,,,,
7200,2.404544,,1.53581900e-04,288.908343,10433.416733,49152,353943552,,,,,,,,,,
7200,,2.463661,1.53581900e-04,,10433.416733,49152,353943552,,,,,,,,,,
7300,,2.430682,1.51374720e-04,,10578.167197,49152,358858752,,,,,,,,,,
7400,2.420579,,1.49227160e-04,289.668115,10723.084849,49152,363773952,,,,,,,,,,
7400,,2.439340,1.49227160e-04,,10723.084849,49152,363773952,,,,,,,,,,
7500,,2.447965,1.47141403e-04,,10866.827519,49152,368689152,,,,,,,,,,
7600,2.445463,,1.45119571e-04,288.630955,11011.715804,49152,373604352,,,,,,,,,,
7600,,2.412256,1.45119571e-04,,11011.715804,49152,373604352,,,,,,,,,,
7700,,2.410326,1.43163719e-04,,11156.628575,49152,378519552,,,,,,,,,,
7800,2.402731,,1.41275837e-04,288.774704,11300.490509,49152,383434752,,,,,,,,,,
7800,,2.402765,1.41275837e-04,,11300.490509,49152,383434752,,,,,,,,,,
7900,,2.398659,1.39457844e-04,,11445.668024,49152,388349952,,,,,,,,,,
8000,2.405041,,1.37711589e-04,289.986060,11590.476569,49152,393265152,,,,,,,,,,
8000,,2.436014,1.37711589e-04,,11590.476569,49152,393265152,,,,,,,,,,
8100,,2.415607,1.36038849e-04,,11735.484624,49152,398180352,,,,,,,,,,
8200,2.389514,,1.34441324e-04,289.935444,11880.412014,49152,403095552,,,,,,,,,,
8200,,2.412919,1.34441324e-04,,11880.412014,49152,403095552,,,,,,,,,,
8300,,2.406841,1.32920639e-04,,12024.853899,49152,408010752,,,,,,,,,,
8400,2.420402,,1.31478340e-04,288.502769,12168.914783,49152,412925952,,,,,,,,,,
8400,,2.323833,1.31478340e-04,,12168.914783,49152,412925952,,,,,,,,,,
8500,,2.429066,1.30115894e-04,,12313.696103,49152,417841152,,,,,,,,,,
8600,2.416034,,1.28834687e-04,290.630704,12459.545488,49152,422756352,,,,,,,,,,
8600,,2.394544,1.28834687e-04,,12459.545488,49152,422756352,,,,,,,,,,
8700,,2.404814,1.27636021e-04,,12603.933760,49152,427671552,,,,,,,,,,
8800,2.345520,,1.26521116e-04,288.188666,12747.734154,49152,432586752,,,,,,,,,,
8800,,2.372289,1.26521116e-04,,12747.734154,49152,432586752,,,,,,,,,,
8900,,2.352371,1.25491106e-04,,12892.696779,49152,437501952,,,,,,,,,,
9000,2.306489,,1.24547037e-04,289.878176,13037.612330,49152,442417152,,,,,,,,,,
9000,,2.368521,1.24547037e-04,,13037.612330,49152,442417152,,,,,,,,,,
9100,,2.314828,1.23689870e-04,,13181.854628,49152,447332352,,,,,,,,,,
9200,2.351848,,1.22920477e-04,289.057187,13326.669518,49152,452247552,,,,,,,,,,
9200,,2.361062,1.22920477e-04,,13326.669518,49152,452247552,,,,,,,,,,
9300,,2.340568,1.22239640e-04,,13471.622698,49152,457162752,,,,,,,,,,
9400,2.317228,,1.21648051e-04,288.879685,13615.549203,49152,462077952,,,,,,,,,,
9400,,2.387348,1.21648051e-04,,13615.549203,49152,462077952,,,,,,,,,,
9500,,2.326288,1.21146312e-04,,13760.455091,49152,466993152,,,,,,,,,,
9600,2.414593,,1.20734934e-04,289.540875,13905.090078,49152,471908352,,,,,,,,,,
9600,,2.339699,1.20734934e-04,,13905.090078,49152,471908352,,,,,,,,,,
9700,,2.382325,1.20414335e-04,,14048.906195,49152,476823552,,,,,,,,,,
9800,2.367875,,1.20184840e-04,288.780891,14193.870969,49152,481738752,,,,,,,,,,
9800,,2.380789,1.20184840e-04,,14193.870969,49152,481738752,,,,,,,,,,
9900,,2.321069,1.20046683e-04,,14338.780808,49152,486653952,,,,,,,,,,
10000,2.289513,,1.20000005e-04,289.148419,14483.019389,49152,491569152,,,,,,,,,,
10000,,2.397365,1.20000005e-04,,14483.019389,49152,491569152,,,,,,,,,,
