step,train_loss,val_loss,lr,wall_dt_s,wall_cum_s,tokens_step,tokens_cum,h_mean,hY_mean,xi_mean,rX,rP,c_log_mean,c_lin_mean,leak_warnings,sched_t_start,sched_t_end
0,10.845516,,0.00000000e+00,5.855673,5.855670,49152,49152,,,,,,,,,,
100,,9.641622,2.00000000e-04,,156.212208,49152,4964352,,,,,,,,,,
200,7.248850,,2.99988559e-04,307.279045,313.134712,49152,9879552,,,,,,,,,,
200,,7.206860,2.99988559e-04,,313.134712,49152,9879552,,,,,,,,,,
300,,5.937282,2.99897044e-04,,466.795728,49152,14794752,,,,,,,,,,
400,5.101370,,2.99714108e-04,305.477561,618.612279,49152,19709952,,,,,,,,,,
400,,5.073565,2.99714108e-04,,618.612279,49152,19709952,,,,,,,,,,
500,,4.497920,2.99439937e-04,,770.683641,49152,24625152,,,,,,,,,,
600,4.143496,,2.99074810e-04,302.715306,921.327585,49152,29540352,,,,,,,,,,
600,,4.173750,2.99074810e-04,,921.327585,49152,29540352,,,,,,,,,,
700,,4.020145,2.98619097e-04,,1073.370466,49152,34455552,,,,,,,,,,
800,3.789067,,2.98073262e-04,304.134084,1225.461669,49152,39370752,,,,,,,,,,
800,,3.882771,2.98073262e-04,,1225.461669,49152,39370752,,,,,,,,,,
900,,3.790184,2.97437861e-04,,1375.943915,49152,44285952,,,,,,,,,,
1000,3.686819,,2.96713539e-04,301.264773,1526.726443,49152,49201152,,,,,,,,,,
1000,,3.690003,2.96713539e-04,,1526.726443,49152,49201152,,,,,,,,,,
1100,,3.597316,2.95901034e-04,,1678.823644,49152,54116352,,,,,,,,,,
1200,3.520811,,2.95001170e-04,303.144732,1829.871175,49152,59031552,,,,,,,,,,
1200,,3.469722,2.95001170e-04,,1829.871175,49152,59031552,,,,,,,,,,
1300,,3.446966,2.94014865e-04,,1981.742099,49152,63946752,,,,,,,,,,
1400,3.359354,,2.92943120e-04,303.595149,2133.466324,49152,68861952,,,,,,,,,,
1400,,3.362263,2.92943120e-04,,2133.466324,49152,68861952,,,,,,,,,,
1500,,3.285582,2.91787025e-04,,2285.465823,49152,73777152,,,,,,,,,,
1600,3.218592,,2.90547756e-04,303.951466,2437.417790,49152,78692352,,,,,,,,,,
1600,,3.247847,2.90547756e-04,,2437.417790,49152,78692352,,,,,,,,,,
1700,,3.161991,2.89226574e-04,,2589.750082,49152,83607552,,,,,,,,,,
1800,3.164583,,2.87824822e-04,303.932393,2741.350183,49152,88522752,,,,,,,,,,
1800,,3.063717,2.87824822e-04,,2741.350183,49152,88522752,,,,,,,,,,
1900,,3.056990,2.86343926e-04,,2893.380904,49152,93437952,,,,,,,,,,
2000,3.021362,,2.84785391e-04,304.065184,3045.415367,49152,98353152,,,,,,,,,,
2000,,3.063011,2.84785391e-04,,3045.415367,49152,98353152,,,,,,,,,,
2100,,2.969743,2.83150803e-04,,3196.041337,49152,103268352,,,,,,,,,,
2200,2.970896,,2.81441823e-04,302.030483,3347.445850,49152,108183552,,,,,,,,,,
2200,,2.985319,2.81441823e-04,,3347.445850,49152,108183552,,,,,,,,,,
2300,,2.951785,2.79660190e-04,,3497.703904,49152,113098752,,,,,,,,,,
2400,2.943126,,2.77807716e-04,300.563701,3648.009552,49152,118013952,,,,,,,,,,
2400,,2.892978,2.77807716e-04,,3648.009552,49152,118013952,,,,,,,,,,
2500,,2.896062,2.75886285e-04,,3799.244720,49152,122929152,,,,,,,,,,
2600,2.899370,,2.73897850e-04,303.219014,3951.228566,49152,127844352,,,,,,,,,,
2600,,2.852574,2.73897850e-04,,3951.228566,49152,127844352,,,,,,,,,,
2700,,2.921638,2.71844433e-04,,4105.760670,49152,132759552,,,,,,,,,,
2800,2.815609,,2.69728124e-04,305.336333,4256.564898,49152,137674752,,,,,,,,,,
2800,,2.857465,2.69728124e-04,,4256.564898,49152,137674752,,,,,,,,,,
2900,,2.836526,2.67551073e-04,,4408.168695,49152,142589952,,,,,,,,,,
3000,2.798272,,2.65315496e-04,303.686300,4560.251198,49152,147505152,,,,,,,,,,
3000,,2.845948,2.65315496e-04,,4560.251198,49152,147505152,,,,,,,,,,
3100,,2.790521,2.63023665e-04,,4711.102898,49152,152420352,,,,,,,,,,
3200,2.733502,,2.60677912e-04,302.305038,4862.556236,49152,157335552,,,,,,,,,,
3200,,2.686402,2.60677912e-04,,4862.556236,49152,157335552,,,,,,,,,,
3300,,2.759331,2.58280621e-04,,5012.965838,49152,162250752,,,,,,,,,,
3400,2.694510,,2.55834231e-04,300.361663,5162.917899,49152,167165952,,,,,,,,,,
3400,,2.714848,2.55834231e-04,,5162.917899,49152,167165952,,,,,,,,,,
3500,,2.679581,2.53341230e-04,,5313.694319,49152,172081152,,,,,,,,,,
3600,2.663130,,2.50804152e-04,302.243250,5465.161149,49152,176996352,,,,,,,,,,
3600,,2.683634,2.50804152e-04,,5465.161149,49152,176996352,,,,,,,,,,
3700,,2.680570,2.48225578e-04,,5617.152879,49152,181911552,,,,,,,,,,
3800,2.707963,,2.45608131e-04,302.479716,5767.640865,49152,186826752,,,,,,,,,,
3800,,2.657453,2.45608131e-04,,5767.640865,49152,186826752,,,,,,,,,,
3900,,2.614723,2.42954472e-04,,5918.513531,49152,191741952,,,,,,,,,,
4000,2.639929,,2.40267299e-04,301.722008,6069.362873,49152,196657152,,,,,,,,,,
4000,,2.668388,2.40267299e-04,,6069.362873,49152,196657152,,,,,,,,,,
4100,,2.612814,2.37549346e-04,,6219.896482,49152,201572352,,,,,,,,,,
4200,2.650464,,2.34803377e-04,301.340274,6370.703147,49152,206487552,,,,,,,,,,
4200,,2.659489,2.34803377e-04,,6370.703147,49152,206487552,,,,,,,,,,
4300,,2.562291,2.32032183e-04,,6524.808137,49152,211402752,,,,,,,,,,
4400,2.585894,,2.29238584e-04,307.790642,6678.493790,49152,216317952,,,,,,,,,,
4400,,2.619548,2.29238584e-04,,6678.493790,49152,216317952,,,,,,,,,,
4500,,2.594810,2.26425420e-04,,6830.686692,49152,221233152,,,,,,,,,,
4600,2.570786,,2.23595552e-04,303.488297,6981.982087,49152,226148352,,,,,,,,,,
4600,,2.582857,2.23595552e-04,,6981.982087,49152,226148352,,,,,,,,,,
4700,,2.595738,2.20751858e-04,,7134.150854,49152,231063552,,,,,,,,,,
4800,2.596412,,2.17897230e-04,304.173086,7286.155173,49152,235978752,,,,,,,,,,
4800,,2.537071,2.17897230e-04,,7286.155173,49152,235978752,,,,,,,,,,
4900,,2.591264,2.15034570e-04,,7436.889443,49152,240893952,,,,,,,,,,
5000,2.594816,,2.12166791e-04,301.221008,7587.376182,49152,245809152,,,,,,,,,,
5000,,2.611212,2.12166791e-04,,7587.376182,49152,245809152,,,,,,,,,,
5100,,2.507601,2.09296808e-04,,7737.929804,49152,250724352,,,,,,,,,,
5200,2.563646,,2.06427541e-04,302.114242,7889.490424,49152,255639552,,,,,,,,,,
5200,,2.558250,2.06427541e-04,,7889.490424,49152,255639552,,,,,,,,,,
5300,,2.581916,2.03561906e-04,,8041.594634,49152,260554752,,,,,,,,,,
5400,2.563005,,2.00702819e-04,302.951220,8192.441643,49152,265469952,,,,,,,,,,
5400,,2.519005,2.00702819e-04,,8192.441643,49152,265469952,,,,,,,,,,
5500,,2.525135,1.97853186e-04,,8343.311536,49152,270385152,,,,,,,,,,
5600,2.517190,,1.95015906e-04,302.216042,8494.657686,49152,275300352,,,,,,,,,,
5600,,2.518912,1.95015906e-04,,8494.657686,49152,275300352,,,,,,,,,,
5700,,2.524791,1.92193864e-04,,8645.658504,49152,280215552,,,,,,,,,,
5800,2.539000,,1.89389931e-04,303.002283,8797.659969,49152,285130752,,,,,,,,,,
5800,,2.470719,1.89389931e-04,,8797.659969,49152,285130752,,,,,,,,,,
5900,,2.484117,1.86606957e-04,,8949.648006,49152,290045952,,,,,,,,,,
6000,2.523827,,1.83847773e-04,304.174095,9101.834064,49152,294961152,,,,,,,,,,
6000,,2.563485,1.83847773e-04,,9101.834064,49152,294961152,,,,,,,,,,
6100,,2.433681,1.81115184e-04,,9253.757267,49152,299876352,,,,,,,,,,
6200,2.477811,,1.78411970e-04,304.050421,9405.884485,49152,304791552,,,,,,,,,,
6200,,2.470043,1.78411970e-04,,9405.884485,49152,304791552,,,,,,,,,,
6300,,2.489994,1.75740879e-04,,9556.761340,49152,309706752,,,,,,,,,,
6400,2.488784,,1.73104629e-04,302.766490,9708.650976,49152,314621952,,,,,,,,,,
6400,,2.477962,1.73104629e-04,,9708.650976,49152,314621952,,,,,,,,,,
6500,,2.510181,1.70505900e-04,,9858.909106,49152,319537152,,,,,,,,,,
6600,2.557139,,1.67947334e-04,301.889960,10010.540936,49152,324452352,,,,,,,,,,
6600,,2.496568,1.67947334e-04,,10010.540936,49152,324452352,,,,,,,,,,
6700,,2.521009,1.65431534e-04,,10162.381871,49152,329367552,,,,,,,,,,
6800,2.465903,,1.62961058e-04,304.534105,10315.075041,49152,334282752,,,,,,,,,,
6800,,2.488671,1.62961058e-04,,10315.075041,49152,334282752,,,,,,,,,,
6900,,2.483898,1.60538419e-04,,10467.178067,49152,339197952,,,,,,,,,,
7000,2.441139,,1.58166080e-04,302.528162,10617.603203,49152,344113152,,,,,,,,,,
7000,,2.471418,1.58166080e-04,,10617.603203,49152,344113152,,,,,,,,,,
7100,,2.452258,1.55846454e-04,,10769.486770,49152,349028352,,,,,,,,,,
7200,2.438092,,1.53581900e-04,303.876128,10921.479331,49152,353943552,,,,,,,,,,
7200,,2.492025,1.53581900e-04,,10921.479331,49152,353943552,,,,,,,,,,
7300,,2.470192,1.51374720e-04,,11073.410489,49152,358858752,,,,,,,,,,
7400,2.451960,,1.49227160e-04,302.462961,11223.942292,49152,363773952,,,,,,,,,,
7400,,2.474958,1.49227160e-04,,11223.942292,49152,363773952,,,,,,,,,,
7500,,2.482872,1.47141403e-04,,11375.925085,49152,368689152,,,,,,,,,,
7600,2.478851,,1.45119571e-04,303.836787,11527.779080,49152,373604352,,,,,,,,,,
7600,,2.453799,1.45119571e-04,,11527.779080,49152,373604352,,,,,,,,,,
7700,,2.443496,1.43163719e-04,,11680.019159,49152,378519552,,,,,,,,,,
7800,2.437005,,1.41275837e-04,304.185509,11831.964590,49152,383434752,,,,,,,,,,
7800,,2.437220,1.41275837e-04,,11831.964590,49152,383434752,,,,,,,,,,
7900,,2.435991,1.39457844e-04,,11984.133284,49152,388349952,,,,,,,,,,
8000,2.441740,,1.37711589e-04,302.644940,12134.609530,49152,393265152,,,,,,,,,,
8000,,2.467087,1.37711589e-04,,12134.609530,49152,393265152,,,,,,,,,,
8100,,2.449155,1.36038849e-04,,12285.584475,49152,398180352,,,,,,,,,,
8200,2.434111,,1.34441324e-04,303.126359,12437.735889,49152,403095552,,,,,,,,,,
8200,,2.449487,1.34441324e-04,,12437.735889,49152,403095552,,,,,,,,,,
8300,,2.440963,1.32920639e-04,,12588.457694,49152,408010752,,,,,,,,,,
8400,2.458344,,1.31478340e-04,303.203982,12740.939871,49152,412925952,,,,,,,,,,
8400,,2.363842,1.31478340e-04,,12740.939871,49152,412925952,,,,,,,,,,
8500,,2.470413,1.30115894e-04,,12891.898740,49152,417841152,,,,,,,,,,
8600,2.454109,,1.28834687e-04,302.448755,13043.388626,49152,422756352,,,,,,,,,,
8600,,2.432025,1.28834687e-04,,13043.388626,49152,422756352,,,,,,,,,,
8700,,2.444141,1.27636021e-04,,13194.071677,49152,427671552,,,,,,,,,,
8800,2.386931,,1.26521116e-04,301.903736,13345.292362,49152,432586752,,,,,,,,,,
8800,,2.413495,1.26521116e-04,,13345.292362,49152,432586752,,,,,,,,,,
8900,,2.384710,1.25491106e-04,,13496.016780,49152,437501952,,,,,,,,,,
9000,2.349028,,1.24547037e-04,301.854233,13647.146596,49152,442417152,,,,,,,,,,
9000,,2.402016,1.24547037e-04,,13647.146596,49152,442417152,,,,,,,,,,
9100,,2.351052,1.23689870e-04,,13799.035774,49152,447332352,,,,,,,,,,
9200,2.394644,,1.22920477e-04,302.925725,13950.072321,49152,452247552,,,,,,,,,,
9200,,2.394580,1.22920477e-04,,13950.072321,49152,452247552,,,,,,,,,,
9300,,2.378202,1.22239640e-04,,14101.191233,49152,457162752,,,,,,,,,,
9400,2.353353,,1.21648051e-04,303.788599,14253.860919,49152,462077952,,,,,,,,,,
9400,,2.419469,1.21648051e-04,,14253.860919,49152,462077952,,,,,,,,,,
